City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Dingle,PH,11.0,122.67,88.3,66,6,4.45,clear sky
264,Parrita,CR,9.52,-84.32,68.0,100,90,5.82,mist
265,Salalah,OM,17.02,54.09,75.2,100,90,6.93,mist
266,Jambi,ID,-1.6,103.62,88.97,57,69,4.65,broken clouds
267,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,68.0,45,1,6.71,clear sky
268,Te Anau,NZ,-45.42,167.72,53.94,68,30,3.18,scattered clouds
269,Katherine,AU,-14.47,132.27,89.6,15,0,16.11,clear sky
270,Avera,US,33.19,-82.53,73.4,87,1,6.93,clear sky
271,Sambava,MG,-14.27,50.17,69.85,76,32,10.65,scattered clouds
272,San Cristobal,VE,7.77,-72.22,66.16,92,95,3.4,light rain
273,Chone,EC,-0.68,-80.1,66.96,89,43,0.83,scattered clouds
274,Pahrump,US,36.21,-115.98,93.0,33,5,1.99,clear sky
275,Balangir,IN,20.72,83.48,83.48,72,98,6.55,overcast clouds
276,Camalu,MX,30.85,-116.07,76.21,67,0,7.29,clear sky
277,Swellendam,ZA,-34.02,20.44,55.4,93,100,1.12,overcast clouds
278,Torbay,CA,47.67,-52.73,60.01,82,5,13.87,clear sky
279,Morro Bay,US,35.37,-120.85,75.99,76,20,7.0,few clouds
280,Bathsheba,BB,13.22,-59.52,77.0,83,75,24.16,light intensity shower rain
281,Kargopol,RU,61.51,38.95,58.24,95,100,5.95,overcast clouds
282,Kununurra,AU,-15.77,128.73,91.4,13,0,9.17,clear sky
283,Zorgo,BF,12.25,-0.62,74.64,87,100,7.78,overcast clouds
284,Shanghai,CN,31.22,121.46,100.99,50,40,4.47,scattered clouds
285,Klyuchi,RU,52.27,79.17,66.11,56,83,2.53,broken clouds
286,Neuquen,AR,-38.95,-68.06,53.6,46,71,2.24,broken clouds
287,Doka,SD,13.52,35.77,67.82,98,100,12.06,moderate rain
288,Faya,SA,18.39,42.45,71.6,52,54,4.7,broken clouds
289,Yar-Sale,RU,66.83,70.83,56.14,82,86,13.24,overcast clouds
290,Golden,US,39.76,-105.22,80.6,24,20,11.41,smoke
291,Mount Gambier,AU,-37.83,140.77,51.8,66,90,5.82,overcast clouds
292,Santa Maria,BR,-29.68,-53.81,53.49,82,0,7.74,clear sky
293,Heihe,CN,50.24,127.49,68.0,82,40,6.71,light intensity shower rain
294,Dalvik,IS,65.97,-18.53,35.6,93,100,3.36,fog
295,Camargo,MX,27.67,-105.17,78.17,31,25,9.73,scattered clouds
296,Khetia,IN,21.67,74.58,75.56,93,100,10.94,moderate rain
297,Chuy,UY,-33.7,-53.46,53.76,90,0,11.43,clear sky
298,Aklavik,CA,68.22,-135.01,69.8,52,75,5.82,broken clouds
299,Inirida,CO,3.87,-67.92,71.82,94,95,1.61,overcast clouds
300,Saint-Denis,FR,48.92,2.33,57.99,82,69,5.82,broken clouds
301,Vardo,NO,70.37,31.11,53.6,93,40,8.05,scattered clouds
302,Verkhnevilyuysk,RU,63.45,120.32,57.52,45,0,6.13,clear sky
303,Serenje,ZM,-13.23,30.24,50.88,91,50,5.68,scattered clouds
304,Abdanan,IR,32.99,47.42,78.31,24,0,2.84,clear sky
305,Maroslele,HU,46.27,20.35,66.0,96,82,5.19,broken clouds
306,East Hemet,US,33.74,-116.94,84.99,51,0,3.02,clear sky
307,Tiksi,RU,71.69,128.87,41.02,70,84,13.27,broken clouds
308,Emerald,AU,-23.53,148.17,73.4,16,0,6.93,clear sky
309,Sorland,NO,67.67,12.69,50.0,76,40,9.17,scattered clouds
310,Cayenne,GF,4.93,-52.33,73.4,100,20,10.83,few clouds
311,Hamilton,US,39.18,-84.53,73.99,94,20,3.11,few clouds
312,Port Lincoln,AU,-34.73,135.87,53.76,67,95,6.53,overcast clouds
313,Iqaluit,CA,63.75,-68.51,41.0,86,75,3.11,broken clouds
314,Tyukhtet,RU,56.54,89.3,57.42,92,99,3.67,overcast clouds
315,Fairbanks,US,64.84,-147.72,68.0,59,90,5.82,light rain
316,Hammerfest,NO,70.66,23.68,50.0,100,75,24.16,light intensity drizzle
317,Sungaipenuh,ID,-2.08,101.38,81.79,53,21,3.09,few clouds
318,Tonekabon,IR,36.82,50.87,68.0,94,90,2.24,overcast clouds
319,Blackwater,AU,-23.58,148.88,71.02,23,0,3.44,clear sky
320,Miandrivazo,MG,-19.52,45.47,70.14,63,0,2.19,clear sky
321,Mehamn,NO,71.04,27.85,55.4,82,75,11.41,broken clouds
322,Lewisporte,CA,49.25,-55.05,57.2,93,75,8.05,broken clouds
323,Milledgeville,US,33.08,-83.23,75.2,94,40,3.49,light rain
324,Sumbe,AO,-11.21,13.84,69.1,87,79,1.7,broken clouds
